DEP,DEPNOMBRE,MUN,MUNNOMBRE,total_votos_v1,pct_gomez_v1,pct_fico_v1,pct_petro_v1,pct_ingrid_v1,pct_johnmilton_v1,pct_luisperez_v1,pct_rodolfo_v1,pct_fajardo_v1,ganador_v1,pct_petro_v2,pct_rodolfo_v2,gano_petro,margen_victoria,total_votos_v2,cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
9,CALDAS,55,MANZANARES,7894,0.32,33.34,14.18,0.05,0.33,0.03,45.91,2.48,rodolfo,21.63,74.4,0,-52.77,8159,9055,,,,,,,,,,,
9,CALDAS,58,MARMATO,3067,0.46,19.47,24.45,0.23,1.21,0.03,44.02,4.01,rodolfo,36.28,56.95,0,-20.67,3217,9058,,,,,,,,,,,
9,CALDAS,61,MARQUETALIA,6095,0.34,24.53,11.3,0.18,0.67,,56.93,2.87,rodolfo,17.42,78.98,0,-61.56,6457,9061,,,,,,,,,,,
9,CALDAS,67,MARULANDA,1092,0.46,34.16,14.38,0.09,0.37,,41.58,4.49,rodolfo,20.25,73.27,0,-53.02,1111,9067,,,,,,,,,,,
9,CALDAS,76,NEIRA,10799,0.37,33.16,19.8,0.11,0.81,0.03,35.1,5.82,rodolfo,28.36,65.84,0,-37.48,11195,9076,,,,,,,,,,,
9,CALDAS,78,NORCASIA,3188,0.56,14.37,23.62,0.06,0.69,0.03,55.24,1.88,rodolfo,30.22,65.22,0,-35.0,3335,9078,,,,,,,,,,,
9,CALDAS,79,PACORA,6856,0.48,41.83,11.29,0.2,0.71,0.1,34.93,4.54,fico,18.8,75.31,0,-56.51,7055,9079,,,,,,,,,,,
9,CALDAS,82,PALESTINA,7939,0.16,24.74,36.99,0.19,1.13,0.03,28.97,2.63,petro,48.16,47.01,1,1.15,8349,9082,,,,,,,,,,,
9,CALDAS,85,PENSILVANIA,9100,0.22,39.2,14.74,0.09,0.38,0.07,37.75,2.77,fico,22.3,72.59,0,-50.29,9248,9085,,,,,,,,,,,
9,CALDAS,103,RIOSUCIO,22468,0.2,33.36,33.26,0.0,0.58,,23.42,3.39,fico,42.72,51.45,0,-8.73,23485,9103,,,,,,,,,,,
9,CALDAS,106,RISARALDA,5218,0.23,30.62,19.61,0.06,0.79,0.1,41.17,2.82,rodolfo,29.06,66.34,0,-37.28,5537,9106,,,,,,,,,,,
9,CALDAS,109,SALAMINA,7414,0.18,41.35,20.53,0.07,0.26,0.04,27.31,5.38,fico,29.83,64.58,0,-34.75,7744,9109,,,,,,,,,,,
9,CALDAS,115,SAMANA,8154,0.18,23.76,16.61,0.13,0.28,0.02,53.12,2.29,rodolfo,23.14,72.96,0,-49.82,8966,9115,,,,,,,,,,,
9,CALDAS,120,SAN JOSE,2607,0.15,29.54,20.64,0.04,1.0,,42.08,3.61,rodolfo,32.11,63.85,0,-31.74,2722,9120,,,,,,,,,,,
9,CALDAS,124,SUPIA,12216,0.27,30.29,24.47,0.16,0.58,0.07,31.86,3.62,rodolfo,33.68,57.5,0,-23.82,12341,9124,,,,,,,,,,,
9,CALDAS,127,VICTORIA,4559,0.15,27.05,17.07,0.07,1.23,0.04,48.67,2.81,rodolfo,24.94,70.64,0,-45.7,4803,9127,,,,,,,,,,,
9,CALDAS,130,VILLAMARIA,28506,0.31,25.19,31.72,0.06,0.8,0.11,30.62,6.52,petro,44.03,49.75,0,-5.72,28617,9130,,,,,,,,,,,
9,CALDAS,133,VITERBO,7590,0.12,37.59,18.37,0.12,0.72,0.07,35.76,3.19,fico,24.94,70.67,0,-45.73,7699,9133,,,,,,,,,,,
11,CAUCA,1,POPAYAN,158979,0.17,18.64,60.04,0.08,1.28,0.05,12.34,3.77,petro,71.0,24.78,1,46.22,170827,11001,Bogotá,99.48,99.16,2.19,83.25,0.42,13.12,11.03,3.34,9.0,7556041.0
11,CAUCA,4,ALMAGUER,6190,0.19,4.25,90.27,0.06,0.18,0.06,2.34,0.58,petro,93.65,4.84,1,88.81,8231,11004,,,,,,,,,,,
11,CAUCA,5,ARGELIA,11720,0.14,3.08,85.32,0.09,1.04,,5.08,0.78,petro,91.25,4.63,1,86.62,15987,11005,,,,,,,,,,,
11,CAUCA,6,BALBOA,8458,0.28,5.13,82.94,0.08,1.25,0.01,5.14,1.56,petro,88.13,7.6,1,80.53,11625,11006,,,,,,,,,,,
11,CAUCA,7,BOLIVAR,13836,0.17,8.29,83.12,0.05,0.65,0.04,3.76,1.12,petro,90.08,7.58,1,82.5,19153,11007,,,,,,,,,,,
