DEP,DEPNOMBRE,MUN,MUNNOMBRE,total_votos_v1,pct_gomez_v1,pct_fico_v1,pct_petro_v1,pct_ingrid_v1,pct_johnmilton_v1,pct_luisperez_v1,pct_rodolfo_v1,pct_fajardo_v1,ganador_v1,pct_petro_v2,pct_rodolfo_v2,gano_petro,margen_victoria,total_votos_v2,cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total,cod_dep_dnp
23,NARIÑO,40,EL ROSARIO,4270,0.16,4.59,90.3,0.02,0.28,,2.11,0.54,petro,93.96,4.07,1,89.89,5264,52256,El Rosario,75.98,36.88,6.91,59.13,84.4,82.84,14.75,36.68,52.1,13681.0,52.0
23,NARIÑO,41,EL CHARCO,6502,0.71,6.64,81.85,0.17,2.15,0.11,3.49,1.54,petro,88.01,9.69,1,78.32,8074,52250,El Charco,15.61,2.68,6.91,61.67,65.59,44.3,56.9,59.71,75.9,23679.0,52.0
23,NARIÑO,43,EL TABLON,6166,0.28,16.92,61.45,0.03,0.21,,15.84,1.46,petro,72.03,24.16,1,47.87,7501,,,,,,,,,,,,,
23,NARIÑO,44,EL PEÑOL,3322,0.39,13.09,77.6,0.03,0.57,,5.45,0.6,petro,86.09,11.54,1,74.55,4178,52254,El Peñol,62.17,26.04,6.91,57.94,80.59,13.42,18.36,5.72,43.0,8405.0,52.0
23,NARIÑO,46,EL TAMBO,6861,0.19,23.06,55.14,0.15,0.36,,14.71,2.13,petro,68.61,27.27,1,41.34,8131,19256,El Tambo,62.07,8.12,6.91,63.02,96.19,97.02,23.64,14.54,46.0,63714.0,19.0
23,NARIÑO,47,FRANCISCO PIZARRO (SALAHONDA),2750,0.47,7.56,84.36,0.04,0.73,0.04,3.13,0.84,petro,91.09,7.29,1,83.8,3198,,,,,,,,,,,,,
23,NARIÑO,49,FUNES,3232,0.06,32.77,55.57,0.06,0.19,,8.11,0.71,petro,63.96,33.71,1,30.25,3865,52287,Funes,83.99,47.03,6.91,63.39,55.32,14.02,12.81,33.25,41.1,7493.0,52.0
23,NARIÑO,52,GUACHUCAL,8849,0.16,9.63,76.88,0.08,0.11,0.02,9.32,1.22,petro,84.11,13.1,1,71.01,11430,52317,Guachucal,90.7,39.4,6.91,62.92,83.78,20.67,12.58,16.58,30.4,20707.0,52.0
23,NARIÑO,55,GUAITARILLA,5900,0.24,10.49,75.64,0.07,0.37,0.02,9.36,1.39,petro,84.98,13.04,1,71.94,7195,52320,Guaitarilla,96.65,40.52,6.91,60.72,60.34,17.64,13.64,12.64,33.6,10933.0,52.0
23,NARIÑO,58,GUALMATAN,3340,0.15,11.29,64.94,0.15,0.21,0.03,17.1,1.8,petro,76.49,20.14,1,56.35,3734,52323,Gualmatán,90.23,60.97,6.91,61.77,56.23,14.2,10.82,19.58,30.9,8023.0,52.0
23,NARIÑO,61,ILES,3662,0.14,9.89,73.32,0.03,0.16,0.03,13.13,1.61,petro,84.75,13.63,1,71.12,4689,52352,Iles,85.4,26.26,6.91,80.16,70.85,26.18,24.37,31.85,43.6,7139.0,52.0
23,NARIÑO,64,IMUES,3497,0.26,15.56,65.83,0.09,0.51,,13.04,1.66,petro,78.19,19.29,1,58.9,4364,52354,Imués,74.31,44.62,6.91,69.37,85.63,0.0,13.75,15.53,40.2,7703.0,52.0
23,NARIÑO,67,IPIALES,48549,0.29,11.11,62.78,0.18,1.02,0.05,17.28,2.9,petro,75.78,19.54,1,56.24,61753,52356,Ipiales,84.69,71.71,6.91,68.47,32.38,41.4,16.23,7.43,23.4,127912.0,52.0
23,NARIÑO,73,LA CRUZ,7969,0.19,11.52,68.35,0.09,0.63,0.01,13.78,1.87,petro,79.95,16.28,1,63.67,9765,52378,La Cruz,96.0,50.76,6.91,63.99,55.65,10.72,9.72,12.88,27.8,20505.0,52.0
23,NARIÑO,76,LA FLORIDA,5535,0.2,16.44,72.05,0.04,0.34,,6.9,1.77,petro,81.17,16.46,1,64.71,6500,52381,La Florida,91.98,27.62,6.91,62.08,78.76,10.08,30.55,37.11,59.0,9485.0,52.0
23,NARIÑO,77,LA LLANADA,2396,0.17,11.77,68.53,0.04,2.17,0.04,11.44,1.54,petro,79.78,16.72,1,63.06,2888,52385,La Llanada,73.19,56.57,6.91,61.35,49.91,15.44,22.61,15.41,33.6,6249.0,52.0
23,NARIÑO,78,LA TOLA,1943,0.72,10.76,74.47,0.1,2.26,0.05,7.21,1.34,petro,85.93,11.94,1,73.99,2345,52390,La Tola,0.54,0.34,6.91,63.58,59.67,66.95,65.51,99.58,73.9,8598.0,52.0
23,NARIÑO,79,LA UNION,12528,0.34,19.62,51.87,0.07,1.08,0.02,20.35,1.68,petro,62.9,32.12,1,30.78,14727,52399,La Unión,48.88,41.14,6.91,71.1,58.63,31.47,20.78,13.81,48.6,39575.0,52.0
23,NARIÑO,80,LEIVA,5561,0.34,4.55,85.6,0.04,0.56,,5.59,0.85,petro,89.83,7.7,1,82.13,6482,52405,Leiva,52.6,34.03,6.91,63.52,67.26,62.64,27.7,23.24,55.3,9214.0,52.0
23,NARIÑO,82,LINARES,4733,0.23,10.16,78.41,0.02,1.08,0.02,5.75,1.35,petro,85.53,12.47,1,73.06,5909,52411,Linares,92.64,34.59,6.91,61.27,77.06,29.94,15.07,7.55,32.9,9627.0,52.0
23,NARIÑO,85,LOS ANDES (SOTOMAYOR),4585,0.24,7.72,77.51,0.15,0.89,,8.59,1.44,petro,85.6,10.92,1,74.68,5520,,,,,,,,,,,,,
23,NARIÑO,88,MAGUI (PAYAN),2843,0.32,2.95,90.89,0.35,0.56,0.07,2.04,0.98,petro,95.76,2.66,1,93.1,3492,,,,,,,,,,,,,
23,NARIÑO,91,MALLAMA (PIEDRANCHA),3437,0.15,5.7,83.53,0.17,0.2,,6.84,0.93,petro,89.39,8.11,1,81.28,4252,,,,,,,,,,,,,
23,NARIÑO,94,MOSQUERA,2877,0.1,3.37,89.99,0.03,0.66,,2.82,0.94,petro,94.54,4.01,1,90.53,3318,25473,Mosquera,98.61,98.67,6.91,81.69,1.0,4.95,5.95,3.36,9.6,258239.0,25.0
23,NARIÑO,95,OLAYA HERRERA,6603,0.83,6.32,79.36,0.24,2.06,0.12,4.26,1.74,petro,88.57,7.96,1,80.61,7778,52490,Olaya Herrera,7.96,2.12,6.91,66.22,55.21,59.45,73.07,81.64,75.9,29465.0,52.0
23,NARIÑO,96,NARIÑO,3062,0.16,14.01,65.45,0.07,0.42,,13.16,2.81,petro,78.0,18.09,1,59.91,3478,25483,Nariño,76.47,69.15,6.91,64.42,21.01,75.7,14.34,8.23,27.8,2484.0,25.0
23,NARIÑO,97,OSPINA,2816,0.5,17.05,53.37,0.21,0.14,0.07,20.24,2.13,petro,69.31,26.17,1,43.14,3512,52506,Ospina,96.04,38.87,6.91,63.54,70.55,0.0,15.53,13.08,28.9,6683.0,52.0
23,NARIÑO,98,POLICARPA,6072,0.21,2.37,88.69,0.18,0.4,0.02,4.45,0.76,petro,93.92,3.95,1,89.97,8310,52540,Policarpa,79.87,55.38,6.91,65.67,72.08,163.48,16.26,14.68,38.7,9324.0,52.0
23,NARIÑO,100,POTOSI,4631,0.22,11.47,58.82,0.09,0.39,0.06,23.82,2.16,petro,74.31,22.76,1,51.55,6235,52560,Potosí,98.32,26.53,6.91,61.19,78.09,9.93,12.48,9.67,27.5,9793.0,52.0
23,NARIÑO,101,PROVIDENCIA,2938,0.27,8.17,85.47,0.07,0.27,0.03,3.3,0.71,petro,93.54,5.63,1,87.91,3482,52565,Providencia,71.81,26.5,6.91,60.14,71.83,17.99,17.64,34.91,55.3,5246.0,52.0
23,NARIÑO,103,PUERRES,4836,0.06,12.61,72.54,0.08,0.1,,10.32,1.61,petro,81.47,16.56,1,64.91,5435,52573,Puerres,88.61,57.79,6.91,66.26,57.17,11.96,13.31,14.81,32.7,7683.0,52.0
23,NARIÑO,106,PUPIALES,8629,0.21,9.6,55.64,0.15,0.15,0.03,27.33,2.24,petro,68.64,27.13,1,41.51,10315,52585,Pupiales,88.02,40.52,6.91,66.43,62.66,17.41,14.93,11.53,32.2,15504.0,52.0
23,NARIÑO,109,RICAURTE,6277,0.46,6.29,83.81,0.25,0.37,0.05,5.05,0.92,petro,91.71,6.61,1,85.1,9631,25612,Ricaurte,95.41,55.01,6.91,79.57,33.03,12.98,11.03,6.47,17.5,18142.0,25.0
23,NARIÑO,112,ROBERTO PAYAN (SAN JOSE),3922,0.33,3.26,90.9,0.1,0.31,0.05,2.17,1.02,petro,95.35,3.57,1,91.78,4963,,,,,,,,,,,,,
23,NARIÑO,115,SAMANIEGO,12768,0.04,5.78,85.69,0.04,1.07,0.01,4.03,1.0,petro,91.17,6.96,1,84.21,16009,52678,Samaniego,72.96,34.35,6.91,69.06,64.35,108.05,32.64,11.91,47.7,27758.0,52.0
23,NARIÑO,118,SANDONA,9232,0.1,14.85,67.02,0.09,0.5,0.02,11.15,2.57,petro,79.34,17.2,1,62.14,11382,52683,Sandoná,97.84,60.13,6.91,64.33,47.19,30.32,15.46,12.95,28.9,19701.0,52.0
23,NARIÑO,120,SAN BERNARDO,3904,0.18,20.85,52.48,,0.33,0.03,21.21,1.43,petro,61.11,34.66,1,26.45,4518,25649,San Bernardo,67.64,46.0,6.91,63.24,46.01,10.71,10.83,5.45,34.8,8316.0,25.0
23,NARIÑO,121,SAN LORENZO,7477,0.83,18.5,61.01,0.09,0.52,0.04,11.8,2.17,petro,73.81,21.59,1,52.22,8985,52687,San Lorenzo,57.47,23.54,6.91,63.97,87.38,16.29,17.13,46.48,55.3,17980.0,52.0
