MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,pct_cepeda_v1,pct_oposicion_v1,pct_cepeda_v2_pred,pct_oposicion_v2_pred,gana_cepeda_pred,margen_pred,ganador_pred,zona_riesgo,quintil_ipm
BELEN,NARIÑO,15087.0,25.2,30.69,0.0,90.28,60.08,5.0,11.02,67.76,7318.0,40.38848071316308,59.61151928683692,47.13897059259355,52.86102940740645,0,-5.72,Oposición,Moderado (5-15%),Muy bajo
BUESACO,NARIÑO,52110.0,39.2,71.08,12.53,68.04,41.26,11.98,17.6,63.47,26535.0,46.04289999794838,53.95710000205162,51.79380304566262,48.20619695433738,1,3.59,Cepeda,Reñido (<5%),Medio
CONSACA,NARIÑO,52207.0,34.9,83.45,0.0,93.13,36.74,20.96,11.13,60.87,16498.0,46.83507189712977,53.16492810287023,53.3116985094235,46.6883014905765,0,6.62,Oposición,Moderado (5-15%),Bajo
CONTADERO,NARIÑO,52210.0,44.0,80.83,0.0,88.36,22.68,33.52,12.12,64.39,7418.0,47.56326672477874,52.43673327522126,54.30003028930242,45.69996971069758,1,8.6,Cepeda,Moderado (5-15%),Medio
CORDOBA,NARIÑO,13212.0,61.9,79.99,5.92,78.89,1.65,51.04,21.46,61.97,21721.0,49.43595069962122,50.56404930037878,55.930208558387264,44.069791441612736,1,11.86,Cepeda,Moderado (5-15%),Muy alto
CUMBAL,NARIÑO,52227.0,28.6,80.65,24.28,85.1,39.48,6.18,17.44,65.61,49029.0,45.859992221732334,54.140007778267666,52.24514098477508,47.75485901522492,1,4.49,Cepeda,Reñido (<5%),Bajo
CHACHAGUI,NARIÑO,52240.0,32.2,69.69,13.06,90.09,45.39,12.37,20.47,74.98,16907.0,45.13515549794626,54.86484450205374,52.078963242438746,47.921036757561254,1,4.16,Cepeda,Reñido (<5%),Bajo
CUMBITARA,NARIÑO,52233.0,39.4,70.32,51.97,83.8,51.34,15.07,21.41,60.31,5597.0,45.987207068236714,54.012792931763286,51.78293948918933,48.21706051081067,0,3.57,Oposición,Reñido (<5%),Medio
EL ROSARIO,NARIÑO,52256.0,52.1,84.4,82.84,75.98,36.88,36.68,14.75,59.13,13681.0,48.81387843126059,51.18612156873941,54.5276816660704,45.4723183339296,1,9.06,Cepeda,Moderado (5-15%),Alto
EL CHARCO,NARIÑO,52250.0,75.9,65.59,44.3,15.61,2.68,59.71,56.9,61.67,23679.0,49.497841659409076,50.502158340590924,54.42611890488878,45.57388109511122,1,8.85,Cepeda,Moderado (5-15%),Muy alto
EL PEÑOL,NARIÑO,52254.0,43.0,80.59,13.42,62.17,26.04,5.72,18.36,57.94,8405.0,47.42936023931642,52.57063976068358,52.69060876761718,47.30939123238282,1,5.38,Cepeda,Moderado (5-15%),Medio
EL TAMBO,NARIÑO,19256.0,46.0,96.19,97.02,62.07,8.12,14.54,23.64,63.02,63714.0,49.34991199130409,50.65008800869591,55.018624027222394,44.981375972777606,1,10.04,Cepeda,Moderado (5-15%),Alto
FUNES,NARIÑO,52287.0,41.1,55.32,14.02,83.99,47.03,33.25,12.81,63.39,7493.0,44.64212174872324,55.35787825127676,51.13609647462832,48.86390352537168,0,2.27,Oposición,Reñido (<5%),Medio
GUACHUCAL,NARIÑO,52317.0,30.4,83.78,20.67,90.7,39.4,16.58,12.58,62.92,20707.0,46.37641432120502,53.62358567879498,52.901866214843345,47.098133785156655,0,5.8,Oposición,Moderado (5-15%),Bajo
GUAITARILLA,NARIÑO,52320.0,33.6,60.34,17.64,96.65,40.52,12.64,13.64,60.72,10933.0,44.33395457657279,55.66604542342721,50.82041854734127,49.17958145265873,0,1.64,Oposición,Reñido (<5%),Bajo
GUALMATAN,NARIÑO,52323.0,30.9,56.23,14.2,90.23,60.97,19.58,10.82,61.77,8023.0,43.61903358414645,56.38096641585355,50.00316703284781,49.99683296715219,0,0.01,Oposición,Reñido (<5%),Bajo
ILES,NARIÑO,52352.0,43.6,70.85,26.18,85.4,26.26,31.85,24.37,80.16,7139.0,46.50082386112357,53.49917613887643,53.893594329101475,46.106405670898525,1,7.79,Cepeda,Moderado (5-15%),Medio
IMUES,NARIÑO,52354.0,40.2,85.63,0.0,74.31,44.62,15.53,13.75,69.37,7703.0,47.637457703171854,52.362542296828146,53.70953391843946,46.29046608156054,1,7.42,Cepeda,Moderado (5-15%),Medio
IPIALES,NARIÑO,52356.0,23.4,32.38,41.4,84.69,71.71,7.43,16.23,68.47,127912.0,40.364045956754595,59.635954043245405,46.909586133820255,53.090413866179745,0,-6.18,Oposición,Moderado (5-15%),Muy bajo
LA CRUZ,NARIÑO,52378.0,27.8,55.65,10.72,96.0,50.76,12.88,9.72,63.99,20505.0,43.220663297524965,56.779336702475035,49.94627891255031,50.05372108744969,0,-0.11,Oposición,Reñido (<5%),Bajo
LA FLORIDA,NARIÑO,52381.0,59.0,78.76,10.08,91.98,27.62,37.11,30.55,62.08,9485.0,48.99311541020448,51.00688458979552,55.160747588328306,44.839252411671694,1,10.32,Cepeda,Moderado (5-15%),Muy alto
