cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
47000,Magdalena,72.33,52.61,18.84,71.48,32.08,26.43,38.43,21.64,42.36,1680900.0
47001,Santa Marta,78.62,79.26,6.8,72.28,11.56,35.84,25.37,13.21,24.4,643372.0
47030,Algarrobo,87.16,1.04,6.91,57.02,39.71,40.66,29.28,28.91,57.3,23257.0
47053,Aracataca,66.7,33.7,6.91,66.24,45.75,32.91,44.89,18.93,50.0,44288.0
47058,Ariguaní,64.82,10.77,6.91,66.06,40.88,42.94,42.88,44.56,56.4,25871.0
47161,Cerro San Antonio,69.3,1.15,6.91,62.33,45.41,9.91,32.25,40.03,62.4,13958.0
47170,Chibolo,65.91,45.29,6.91,57.27,37.68,20.85,63.87,34.81,53.3,32944.0
47189,Ciénaga,82.03,62.67,6.91,69.95,13.05,62.75,49.43,25.69,44.6,148820.0
47205,Concordia,84.36,7.94,6.91,53.48,61.42,8.91,26.87,37.7,67.9,10860.0
47245,El Banco,55.58,30.04,6.91,62.96,43.45,27.98,42.48,25.35,54.7,81622.0
47258,El Piñón,73.95,28.38,6.91,57.72,68.49,12.15,20.16,33.66,50.4,31462.0
47268,El Retén,82.98,7.73,6.91,53.89,24.42,46.32,49.87,31.67,63.6,19515.0
47288,Fundación,85.71,76.2,6.91,68.54,17.71,38.74,74.64,16.76,43.9,80633.0
47318,Guamal,64.8,34.82,6.91,46.68,74.39,13.97,38.42,22.12,60.3,25388.0
47460,Nueva Granada,29.8,50.51,6.91,59.73,59.73,18.43,46.28,96.33,66.4,28082.0
47541,Pedraza,79.21,24.6,6.91,50.1,73.97,21.53,35.51,32.03,56.2,11338.0
47545,Pijiño del Carmen,70.85,39.53,6.91,61.39,58.13,30.22,48.11,48.55,60.8,16055.0
47551,Pivijay,58.6,49.48,6.91,66.41,42.28,27.53,30.7,21.09,52.4,41205.0
47555,Plato,78.11,27.46,6.91,52.56,23.45,19.8,61.15,29.84,52.7,92339.0
47570,Puebloviejo,12.43,1.79,6.91,65.63,72.3,9.09,31.38,72.24,58.0,36528.0
47605,Remolino,92.29,0.61,6.91,58.54,35.74,57.23,22.51,20.04,50.6,17111.0
47660,Sabanas de San Ángel,55.93,19.55,6.91,58.35,72.25,17.49,66.92,41.5,69.4,16498.0
47675,Salamina,91.83,60.92,6.91,56.09,33.59,8.63,33.17,23.02,44.3,15855.0
47692,San Sebastián de Buenavista,64.8,24.47,6.91,56.92,74.12,4.71,42.22,43.3,63.8,21623.0
47703,San Zenón,80.66,26.89,6.91,60.78,92.24,15.68,27.64,22.28,56.4,16847.0
47707,Santa Ana,73.37,44.05,6.91,62.2,43.85,3.78,38.89,23.89,47.3,30939.0
47720,Santa Bárbara de Pinto,78.11,29.48,6.91,57.95,38.1,25.9,37.15,38.9,57.8,10083.0
47745,Sitionuevo,47.99,1.16,6.91,71.59,48.85,60.19,49.63,46.66,70.7,28071.0
47798,Tenerife,62.93,35.99,6.91,64.6,52.0,7.22,46.09,32.04,56.3,14742.0
47960,Zapayán,75.76,1.06,6.91,53.9,62.41,9.19,44.99,55.14,70.4,12531.0
47980,Zona Bananera,49.1,1.07,6.91,69.99,97.82,68.58,28.88,23.12,48.6,84446.0
50000,Meta,79.03,78.34,7.28,77.18,26.46,30.21,31.71,7.95,25.21,1286877.0
50001,Villavicencio,92.27,90.86,4.43,71.2,8.93,16.6,11.6,5.93,15.9,637426.0
50006,Acacías,91.89,85.41,6.91,77.91,26.47,10.72,10.71,5.13,19.2,128755.0
50110,Barranca de Upía,79.67,73.98,6.91,84.98,29.81,44.88,17.11,15.84,36.5,9270.0
50124,Cabuyaro,77.1,71.97,6.91,71.39,52.82,79.48,25.14,10.5,32.2,7528.0
50150,Castilla La Nueva,89.79,69.96,6.91,78.82,62.41,30.93,11.39,7.19,23.1,20982.0
50223,Cubarral,85.71,69.12,6.91,67.17,35.72,13.92,11.69,5.76,21.8,7316.0
50226,Cumaral,77.1,78.35,6.91,81.86,36.9,4.24,12.17,6.12,22.7,24894.0
50245,El Calvario,72.66,48.63,6.91,63.01,65.16,60.02,6.01,0.91,29.7,1897.0
50251,El Castillo,63.2,51.77,6.91,64.79,64.17,26.57,29.7,21.24,42.2,8487.0
50270,El Dorado,86.07,57.67,6.91,70.12,66.3,49.95,18.59,10.21,28.9,4137.0
50287,Fuente de Oro,56.37,70.5,6.91,66.62,44.57,31.78,25.27,11.6,32.0,12773.0
50313,Granada,54.65,83.1,6.91,76.45,17.77,26.49,18.91,9.73,29.6,73964.0
50318,Guamal,95.85,66.31,6.91,74.11,34.92,13.61,13.14,6.28,22.6,19963.0
50325,Mapiripán,36.44,31.55,6.91,63.18,71.64,206.3,66.09,30.75,64.2,7511.0
50330,Mesetas,58.58,46.83,6.91,66.35,64.09,28.31,42.82,12.09,45.1,12445.0
50350,La Macarena,16.35,22.01,6.91,63.9,87.12,66.65,45.58,23.37,67.9,35530.0
50370,Uribe,21.16,31.27,6.91,70.39,82.05,93.42,60.05,24.79,60.4,10165.0
50400,Lejanías,70.8,45.47,6.91,70.88,60.63,52.91,26.38,11.06,39.9,12158.0
50450,Puerto Concordia,36.68,41.46,6.91,67.24,65.75,68.91,65.63,17.2,53.0,8898.0
50568,Puerto Gaitán,45.37,45.17,6.91,78.35,53.69,78.98,70.52,20.02,51.8,70198.0
50573,Puerto López,78.75,74.9,6.91,80.38,41.93,19.48,27.58,14.27,32.7,31967.0
50577,Puerto Lleras,27.77,32.48,6.91,64.14,67.44,104.56,42.0,21.28,43.5,10381.0
50590,Puerto Rico,32.09,48.35,6.91,68.39,55.21,15.29,54.78,22.92,47.1,13512.0
50606,Restrepo,82.81,69.63,6.91,77.06,35.63,5.27,8.22,4.91,15.3,23968.0
50680,San Carlos de Guaroa,83.17,88.31,6.91,70.47,52.09,7.64,14.95,17.21,31.9,16756.0
50683,San Juan de Arama,57.49,49.3,6.91,65.78,55.71,22.2,32.14,12.91,37.9,9452.0
50686,San Juanito,65.62,56.16,6.91,54.32,46.31,0.0,12.45,7.53,43.2,1367.0
50689,San Martín,80.34,76.84,6.91,74.76,29.84,59.42,41.38,8.76,25.5,27947.0
50711,Vistahermosa,54.83,41.57,6.91,67.29,61.06,70.34,44.45,24.37,48.5,18611.0
52000,Nariño,72.4,48.58,14.3,71.8,55.8,36.44,26.61,16.2,37.99,1748916.0
52001,Pasto,98.38,89.76,3.08,74.25,21.54,10.69,14.96,6.13,16.3,397480.0
52019,Albán,73.28,39.56,6.91,59.64,69.77,10.72,12.91,21.99,44.2,9083.0
52022,Aldana,82.62,44.78,6.91,58.43,77.79,27.18,10.94,10.55,29.1,8250.0
52036,Ancuyá,96.62,30.71,6.91,61.37,74.51,34.84,9.67,9.15,22.2,8208.0
52051,Arboleda,67.06,24.57,6.91,56.6,85.62,11.87,23.9,24.43,54.3,10286.0
52079,Barbacoas,9.7,9.97,6.91,67.94,76.83,40.65,67.48,81.09,76.1,70950.0
52083,Belén,91.21,60.4,6.91,60.67,46.95,15.86,15.15,9.68,34.1,5738.0
52110,Buesaco,68.04,41.26,6.91,63.47,71.08,12.53,17.6,11.98,39.2,26535.0
52203,Colón,76.79,27.85,6.91,62.17,86.02,48.06,13.63,5.91,42.4,7999.0
52207,Consacá,93.13,36.74,6.91,60.87,83.45,0.0,11.13,20.96,34.9,16498.0
52210,Contadero,88.36,22.68,6.91,64.39,80.83,0.0,12.12,33.52,44.0,7418.0
52215,Córdoba,89.71,23.33,6.91,68.75,79.11,12.91,18.06,20.52,41.8,19431.0
52224,Cuaspud,49.53,28.38,6.91,61.24,69.21,10.86,25.04,27.45,51.4,11306.0
52227,Cumbal,85.1,39.48,6.91,65.61,80.65,24.28,17.44,6.18,28.6,49029.0
52233,Cumbitara,83.8,51.34,6.91,60.31,70.32,51.97,21.41,15.07,39.4,5597.0
52240,Chachagüí,90.09,45.39,6.91,74.98,69.69,13.06,20.47,12.37,32.2,16907.0
52250,El Charco,15.61,2.68,6.91,61.67,65.59,44.3,56.9,59.71,75.9,23679.0
52254,El Peñol,62.17,26.04,6.91,57.94,80.59,13.42,18.36,5.72,43.0,8405.0
52256,El Rosario,75.98,36.88,6.91,59.13,84.4,82.84,14.75,36.68,52.1,13681.0
52258,El Tablón de Gómez,55.3,30.04,6.91,66.33,88.24,7.01,25.94,24.64,50.4,14494.0
52260,El Tambo,84.22,38.06,6.91,66.29,61.02,36.18,17.73,13.08,31.9,14178.0
52287,Funes,83.99,47.03,6.91,63.39,55.32,14.02,12.81,33.25,41.1,7493.0
52317,Guachucal,90.7,39.4,6.91,62.92,83.78,20.67,12.58,16.58,30.4,20707.0
52320,Guaitarilla,96.65,40.52,6.91,60.72,60.34,17.64,13.64,12.64,33.6,10933.0
52323,Gualmatán,90.23,60.97,6.91,61.77,56.23,14.2,10.82,19.58,30.9,8023.0
52352,Iles,85.4,26.26,6.91,80.16,70.85,26.18,24.37,31.85,43.6,7139.0
52354,Imués,74.31,44.62,6.91,69.37,85.63,0.0,13.75,15.53,40.2,7703.0
52356,Ipiales,84.69,71.71,6.91,68.47,32.38,41.4,16.23,7.43,23.4,127912.0
52378,La Cruz,96.0,50.76,6.91,63.99,55.65,10.72,9.72,12.88,27.8,20505.0
52381,La Florida,91.98,27.62,6.91,62.08,78.76,10.08,30.55,37.11,59.0,9485.0
52385,La Llanada,73.19,56.57,6.91,61.35,49.91,15.44,22.61,15.41,33.6,6249.0
52390,La Tola,0.54,0.34,6.91,63.58,59.67,66.95,65.51,99.58,73.9,8598.0
52399,La Unión,48.88,41.14,6.91,71.1,58.63,31.47,20.78,13.81,48.6,39575.0
52405,Leiva,52.6,34.03,6.91,63.52,67.26,62.64,27.7,23.24,55.3,9214.0
52411,Linares,92.64,34.59,6.91,61.27,77.06,29.94,15.07,7.55,32.9,9627.0
52418,Los Andes,84.49,52.22,6.91,63.54,51.24,32.34,34.45,10.46,44.9,9053.0
52427,Magüi,2.4,4.77,6.91,61.13,68.69,27.38,75.92,94.08,85.3,31641.0
52435,Mallama,75.84,32.78,6.91,60.31,85.43,111.68,11.84,10.26,39.0,8139.0
52473,Mosquera,1.32,0.9,6.91,56.83,52.21,15.9,59.7,98.54,70.2,11244.0
52480,Nariño,94.01,63.38,6.91,62.52,37.96,0.0,25.13,23.6,40.8,4626.0
52490,Olaya Herrera,7.96,2.12,6.91,66.22,55.21,59.45,73.07,81.64,75.9,29465.0
52506,Ospina,96.04,38.87,6.91,63.54,70.55,0.0,15.53,13.08,28.9,6683.0
52520,Francisco Pizarro,32.19,1.17,6.91,59.74,59.33,21.17,42.83,53.62,69.5,18314.0
52540,Policarpa,79.87,55.38,6.91,65.67,72.08,163.48,16.26,14.68,38.7,9324.0
52560,Potosí,98.32,26.53,6.91,61.19,78.09,9.93,12.48,9.67,27.5,9793.0
52565,Providencia,71.81,26.5,6.91,60.14,71.83,17.99,17.64,34.91,55.3,5246.0
52573,Puerres,88.61,57.79,6.91,66.26,57.17,11.96,13.31,14.81,32.7,7683.0
52585,Pupiales,88.02,40.52,6.91,66.43,62.66,17.41,14.93,11.53,32.2,15504.0
52612,Ricaurte,27.98,12.77,6.91,66.64,87.51,74.71,67.61,21.19,71.9,31423.0
